P86
"Baker, Large Oval (11¾"")"
"Baker, Rectangular (14½"" x 10¾"")"
"Baker, Square (10½"")"
Beverage Server
"Bowl, 5"" Footed (a.k.a. Small Rice) 16"
"Bowl, 6"" Footed (a.k.a. Rice) 16"
"Bowl, Baking - 6 Qt. (10 7/8"")"
"Bowl, Baking - 4 Qt. (9 5/8"")"
"Bowl, Baking - 2 ½ Qt. (8 5/8"")"
"Bowl, Betty 4"
"Bowl, Bistro - Extra Large (10½"")"
"Bowl, Bistro - Large (9¼"")"
"Bowl, Bistro - Medium (7½"")"
"Bowl, Bistro - Small (22 oz.)"
"Bowl, Cereal (stacking, 6½"", 11 oz.)"
"Bowl, Cereal (straight, 5 5/8"", 14¼ oz.)"
"Bowl, Chili (a.k.a. Jumbo)"
"Bowl, Chowder (18 oz.)"
"Bowl, Companion (a.k.a. Medium Vegetable; straight, 7¼"") 36"
"Bowl, Deep Oval Serving (a.k.a. Vegetable, 12 1/8"")"
"Bowl, Divided"
"Bowl, Extra Large (straight, 10¼"", 2 qt.)"
"Bowl, Fruit (5 3/8"", 6¼ oz.)"
"Bowl, Fruit/Salsa (5"", 9 oz.)"
"Bowl, Gusto (24 oz.)"
"Bowl, Heart - Large (9"")"
"Bowl, Heart - Medium (7½"")"
"Bowl, Heart - Small (5½"")"
"Bowl, Hostess"
"Bowl, Individual Pasta 33"
"Bowl, Mixing - Large (flared, 9½"", 70 oz.) 23"
"Bowl, Mixing - Medium (flared, 8½"", 60 oz.)"
"Bowl, Mixing - Small (flared, 7½"", 44 oz.)"
"Bowl, Oval Vegetable"
"Bowl, Pasta"
"Bowl, Pedestal"
"Bowl, Petware XXS (embossed Fruit Bowl) 53"
"Bowl, Petware XS (embossed Straight Cereal Bowl) 53"
"Bowl, Petware Small (embossed Companion Bowl) 53"
"Bowl, Petware Medium (embossed Serving Bowl) 53"
"Bowl, Petware Large (embossed Extra Large Bowl) 53"
"Bowl, Prep Baking - 1 1/8 Qt. (6 ¼"")"
"Bowl, Prep Baking - 2 Qt. (7 3/8"")"
"Bowl, Presentation"
"Bowl, Rim Soup"
"Bowl, Serving (straight, 8¼"", 40 oz.)"
"Bowl, Signature (10 1/8"")"
"Bowl, Soup (straight, 6 7/8"", 19 oz.)"
"Bowl, Spaghetti (a.k.a. 4 Qt. Pasta; 12¾"") 33"
"Bowl, Square (19 oz.)"
"Bowl, Square Rim 69"
"Bowl, Tripod"
"Box, Square & Lid"
"Butter, Covered"
"Butter, Extra Large Covered"
"Candleholder, Millennium (Tapered) 2"
"Candleholder, Pyramid"
"Candleholder, Round"
"Canister, Large (9¾"", 3 qt.) 4"
"Canister, Medium (8½"", 2 qt.) 4"
"Canister, Small (7 3/8"", 1 qt.) 4"
Carafe
Casserole & Lid
"Casserole, Large Covered & Lid"
"Casserole, Individual Oval"
"Casserole, Small Covered & Lid (a.k.a. Tortilla Warmer)"
Chip & Dip Set
Clock 25
Coaster
"Coaster, 2017 67"
"Coaster, Logo 9"
Coffee Server & Lid
"Creamer, Individual"
"Creamer, Small 21"
Cup & Saucer
"Cup & Saucer, AD (ring handle)"
"Cup & Saucer, AD (2 ring handles) 22"
"Cup & Saucer, AD (stick handle)"
"Cup, Bouillon"
"Cup, Jumbo & Saucer"
"Flower Pot (3 ½"")"
"Goblet (6¾"") 2, 28"
"Jar, Cookie - Dancing Lady"
"Jar, Jam"
"Jar, Treat - Cat (1 Qt.)"
"Jar, Treat - Dog Bone (2 Qt.)"
Lamp 8
"Lamp, Teapot"
Mug
"Mug, Bistro Latte"
"Mug, Cappuccino"
"Mug, Embossed Fan (a.k.a. Horizon Mug) 51"
"Mug, Java"
"Mug, Latte 43"
"Mug, Pedestal"
"Mug, Square"
"Mug, Stacking"
"Mug, Tapered"
Napkin Ring
"Ornament, 75th Anniversary"
"Ornament, 85th Anniversary"
"Ornament, Bone 2013 53"
"Ornament, Cat 2013 53"
"Ornament, Pin 6, 46"
"Ornament, Pitcher"
"Ornament, Plate 25"
"Ornament, Teapot 9"
"Pan, Loaf (10 7/8"" x 5¾"")"
"Pie Baker (10 ¼"")"
"Pie Baker, Handled (12 ¾"") 63"
"Pie Plate, Medium (8 ¼"")"
"Pie Plate, Small (6 3/8"")"
"Pitcher, Large Disk (7¼"")"
"Pitcher, Mini Disk (3¼"")"
"Pitcher, Small Disk (5 ½"")"
Planter & Saucer 4
"Plate, Appetizer (6 ¾"")"
"Plate, B & B (6 1/8"")"
"Plate, Bowl (10¼"")"
"Plate, Bowl - Luncheon (8½"")"
"Plate, Bistro Buffet (a.k.a. Pallet; 9"")"
"Plate, Bulb"
"Plate, Chop (11 ¾"")"
"Plate, Bistro Crescent"
"Plate, Cake - 85th Anniversary Pedestal"
"Plate, Dinner (10½"")"
"Plate, Dinner - Bistro (10½"")"
"Plate, Heart"
"Plate, Luncheon (9"")"
"Plate, Luncheon - Embossed Snowflake"
"Plate, Pumpkin"
"Plate, Salad (7¼"")"
"Plate, Salad - Bistro (7¼"")"
"Plate, Shell"
"Plate, Snowflake"
"Plate, Square Dinner (10¾"")"
"Plate, Square Luncheon (9¼"")"
"Plate, Square Salad (7½"")"
"Plate, Star"
"Plate, Tree"
"Plate, Welled Snack"
"Platter, Oval - Extra Large (19¼"")"
"Platter, Oval - Large (13 5/8"")"
"Platter, Oval - Medium (11 5/8"")"
"Platter, Oval - Small (9 5/8"")"
"Platter, Rectangular (12"")"
"Platter, Round (14"") 62"
"Platter, Round - 80th Anniversary (11¾"")"
Ramekin
"Ramekin, Heart"
Sauce Boat
"Serveware, Ceramic Handled Cake Knife"
"Serveware, Ceramic Handled Cake Server"
"Serveware, Ceramic Handled Cold Meat Fork"
"Serveware, Ceramic Handled Gravy Ladle"
"Serveware, Ceramic Handled Ladle"
"Serveware, Ceramic Handled Lasagna Server"
"Serveware, Ceramic Handled Pasta Server"
"Serveware, Ceramic Handled Serving Spoon"
"Serveware, Ceramic Handled Slotted Fork"
"Shaker, Cheese 33"
"Shakers, Rangetop (pair)"
"Shakers, Regular (pair)"
Shelf Sign 12
"Skillet, Individual"
Soap Dish
Soap/Lotion Dispenser
Spoon Rest
"Sugar, Individual"
"Sugar, Small 21"
Sugar & Creamer Tray Set
Sugar Caddy
"Teapot (7 ¼"")"
"Teapot, 2 Cup (5 1/8"")"
"Tool Crock (6½"" x 5"")"
"Tool Crock, Large (8¾"" x 6½"") 4,24"
Tooth Brush Holder
"Tray, 13"" Serving"
"Tray, Bread - Large (13½"" x 6¼"") 4"
"Tray, Bread - Small (12"" x 5 5/8"")"
"Tray, Egg - Large (13 1/8"")"
"Tray, Egg (11 ¼"")"
"Tray, Hostess"
"Tray, Omni"
"Tray, Pizza (15"")"
"Tray, Pizza - Small (12"")"
"Tray, Round Serving"
"Tray, Square Handled Serving"
"Tray, Utility (a.k.a. Relish Tray)"
"Tray, Utility (a.k.a. Napkin Holder)"
Trivet
Tumbler
"Tumbler, Bathroom"
"Tureen, Soup with Lid, Platter & Ladle"
"Vase, 150th Anniversary"
"Vase, Bud"
"Vase, Medium (9 5/8"")"
"Vase, Small (8"")"
"Vase, Millenium I 2"
"Vase, Millenium II 0,3"
"Vase, Millennium III 0"
"Vase, Monarch"
"Vase, Royalty 0"


Vintage

Ash Tray
"Bowl, Covered Onion Soup & Lid"
"Bowl, Cream Soup 2, 10"
"Bowl, Dessert (6¼"")"
"Bowl, Fruit (4¾"") 7, 8, 13"
"Bowl, Fruit (5½"") 13"
"Bowl, Fruit (11¾"")"
"Bowl, Mixing - #1 (4 15/16"")"
"Bowl, Mixing - #2 (5 7/8"")"
"Bowl, Mixing - #3 (6 11/16"")"
"Bowl, Mixing - #4 (7 11/16"")"
"Bowl, Mixing - #5 (8 9/16"")"
"Bowl, Mixing - #6 (9 11/16"")"
"Bowl, Mixing - #7 (10 15/16"")"
"Bowl Lid, Mixing - #1 (5 1/16"")"
"Bowl Lid, Mixing - #2 (6 1/16"")"
"Bowl Lid, Mixing - #3 (6 15/16"")"
"Bowl Lid, Mixing - #4 (7 7/8"")"
"Bowl Lid, Mixing - #5"
"Bowl Lid, Mixing - #6"
"Bowl, Nappie (8½"") 13"
"Bowl, Nappie (9½"")"
"Bowl, Salad - Footed (11 3/8"")"
"Bowl, Salad - Individual (7 5/8"")"
"Bowl, Salad - Unlisted (9¾"") 7"
"Bowl, Tricolator 17"
"Candleholder, Bulb"
"Candleholder, Tripod 2"
Carafe & Lid 2
Casserole & Lid
"Casserole, French & Lid"
"Casserole, French & Lid - footed"
"Casserole, Promotional & Lid 12, 17"
"Coffee Pot, AD (Demitasse) & Lid 2, 7"
Coffee Pot & Lid
"Comport (10"") 2"
"Comport (12"")"
"Comport, Sweets"
Creamer (ring handle)
Creamer (stick handle)
"Creamer, Individual"
"Cup & Saucer, AD (Demitasse) 2"
Cup & Saucer (ring handle)
"Cup, Egg"
"Jar, Marmalade & Lid"
"Jar, Mustard & Lid"
"Jug, 2 Pint (#5)"
"Jug, 1½ Pint (#4)"
"Jug, 1 Pint (#3)"
"Mug, Tom & Jerry 7"
"Pitcher, Ice 7"
"Pitcher, Juice (5 15/16"") 4"
"Pitcher, Water (7½"")"
"Plate, 6"" (6 5/16"")"
"Plate, 7"" (7 7/16"")"
"Plate, 9"" (9 7/16"")"
"Plate, 10"" (10 7/16"")"
"Plate, 13"" Chop (12 3/8"") 20"
"Plate, 15"" Chop (14¼"")"
"Plate, 10"" Compartment (10 7/16"")"
"Plate, 12"" Compartment (11¾"")"
"Plate, Cake (10 3/8"") 17"
"Plate, Deep"
"Platter, Oval (12 5/8"")"
Sauce Boat
Shaker
Sugar & Lid
"Sugar, Individual 7"
Syrup & Lid
"Teapot & Lid, Large"
"Teapot & Lid, Medium 7"
"Teapot & Lid, Two-Cup"
"Tray, Figure-8"
"Tray, Relish - Base 10"
"Tray, Relish - Center"
"Tray, Relish - Side 10"
"Tray, Utility"
"Tumbler, Juice (3½"", 3¾"") 5"
"Tumbler, Water (4½"") 13"
"Vase, Bud 10"
"Vase, 8"" Flower"
"Vase, 10"" Flower"
"Vase, 12"" Flower"

"Bowl, Ironstone Fruit/Dessert (5 ½"")"
"Bowl, Ironstone Soup/Cereal (6 ½"")"
"Bowl, Ironstone Salad (10 ½"")"
"Bowl, Ironstone Vegetable (8 ¾"")"
"Butter, Covered"
"Casserole, & Lid (Ironstone)"
Coffee Server & Lid (Ironstone)
Creamer (C handle)
Cup & Saucer (C handle)
Marmalade & Lid (Ironstone)
"Mug, Coffee (Ironstone) 18"
Pie Plate
Sauce Boat Stand
Sugar & Lid (Ironstone)
Teapot & Lid (Ironstone)
"Tray, Hostess 16"
